precinct,votes,ja'mal green,%,sophia king,%,kam buckner,%,willie l. wilson,%,brandon johnson,%,paul vallas,%,lori e. lightfoot,%,roderick t. sawyer,%,"jesus ""chuy"" garcia",%,ward
13,184,3,1.63%,1,0.54%,0,0%,26,14.13%,19,10.33%,26,14.13%,29,15.76%,1,0.54%,79,42.93%,Ward 15
14,156,3,1.92%,0,0%,0,0%,28,17.95%,25,16.03%,15,9.62%,16,10.26%,1,0.64%,68,43.59%,Ward 15
15,186,5,2.69%,1,0.54%,0,0%,22,11.83%,23,12.37%,36,19.35%,29,15.59%,0,0%,70,37.63%,Ward 15
16,274,6,2.19%,5,1.82%,0,0%,28,10.22%,45,16.42%,50,18.25%,51,18.61%,3,1.09%,86,31.39%,Ward 15
17,359,14,3.90%,4,1.11%,3,0.84%,123,34.26%,34,9.47%,18,5.01%,134,37.33%,1,0.28%,28,7.80%,Ward 15
18,267,12,4.49%,2,0.75%,0,0%,86,32.21%,37,13.86%,22,8.24%,95,35.58%,0,0%,13,4.87%,Ward 15
19,148,6,4.05%,3,2.03%,2,1.35%,46,31.08%,18,12.16%,8,5.41%,61,41.22%,1,0.68%,3,2.03%,Ward 15
20,258,3,1.16%,1,0.39%,0,0%,16,6.20%,22,8.53%,55,21.32%,7,2.71%,0,0%,154,59.69%,Ward 15
1,289,11,3.81%,4,1.38%,1,0.35%,87,30.10%,42,14.53%,20,6.92%,113,39.10%,4,1.38%,7,2.42%,Ward 16
2,187,11,5.88%,3,1.60%,1,0.53%,46,24.60%,21,11.23%,19,10.16%,58,31.02%,0,0%,28,14.97%,Ward 16
3,208,16,7.69%,2,0.96%,1,0.48%,43,20.67%,35,16.83%,13,6.25%,88,42.31%,0,0%,10,4.81%,Ward 16
4,153,7,4.58%,1,0.65%,0,0%,44,28.76%,22,14.38%,9,5.88%,63,41.18%,1,0.65%,6,3.92%,Ward 16
5,308,22,7.14%,5,1.62%,3,0.97%,86,27.92%,45,14.61%,17,5.52%,117,37.99%,1,0.32%,12,3.90%,Ward 16
6,294,10,3.40%,2,0.68%,1,0.34%,80,27.21%,38,12.93%,15,5.10%,124,42.18%,1,0.34%,23,7.82%,Ward 16
7,172,11,6.40%,1,0.58%,0,0%,43,25.00%,22,12.79%,24,13.95%,41,23.84%,0,0%,30,17.44%,Ward 16
8,117,6,5.13%,1,0.85%,0,0%,30,25.64%,10,8.55%,9,7.69%,34,29.06%,2,1.71%,25,21.37%,Ward 16
9,295,11,3.73%,2,0.68%,2,0.68%,66,22.37%,48,16.27%,28,9.49%,126,42.71%,1,0.34%,11,3.73%,Ward 16
10,243,20,8.23%,2,0.82%,2,0.82%,76,31.28%,33,13.58%,23,9.47%,82,33.74%,2,0.82%,3,1.23%,Ward 16
11,212,13,6.13%,5,2.36%,0,0%,56,26.42%,33,15.57%,10,4.72%,90,42.45%,2,0.94%,3,1.42%,Ward 16
12,84,3,3.57%,0,0%,2,2.38%,25,29.76%,5,5.95%,11,13.10%,25,29.76%,0,0%,13,15.48%,Ward 16
13,122,9,7.38%,1,0.82%,0,0%,28,22.95%,22,18.03%,13,10.66%,41,33.61%,2,1.64%,6,4.92%,Ward 16
14,290,13,4.48%,3,1.03%,1,0.34%,86,29.66%,33,11.38%,25,8.62%,115,39.66%,5,1.72%,9,3.10%,Ward 16
15,277,11,3.97%,6,2.17%,4,1.44%,79,28.52%,25,9.03%,26,9.39%,111,40.07%,3,1.08%,12,4.33%,Ward 16
16,186,4,2.15%,2,1.08%,0,0%,61,32.80%,22,11.83%,6,3.23%,87,46.77%,0,0%,4,2.15%,Ward 16
17,351,15,4.27%,9,2.56%,5,1.42%,85,24.22%,40,11.40%,37,10.54%,119,33.90%,1,0.28%,40,11.40%,Ward 16
18,295,14,4.75%,1,0.34%,0,0%,77,26.10%,41,13.90%,30,10.17%,103,34.92%,2,0.68%,27,9.15%,Ward 16
19,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 16
20,292,12,4.11%,7,2.40%,1,0.34%,90,30.82%,31,10.62%,24,8.22%,114,39.04%,3,1.03%,10,3.42%,Ward 16
21,205,13,6.34%,0,0%,4,1.95%,43,20.98%,24,11.71%,17,8.29%,94,45.85%,4,1.95%,6,2.93%,Ward 16
22,248,10,4.03%,0,0%,2,0.81%,73,29.44%,30,12.10%,25,10.08%,94,37.90%,1,0.40%,13,5.24%,Ward 16
23,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 16
24,206,6,2.91%,5,2.43%,0,0%,52,25.24%,24,11.65%,15,7.28%,92,44.66%,2,0.97%,10,4.85%,Ward 16
25,111,6,5.41%,1,0.90%,0,0%,32,28.83%,17,15.32%,7,6.31%,44,39.64%,0,0%,4,3.60%,Ward 16
1,324,12,3.70%,5,1.54%,1,0.31%,55,16.98%,46,14.20%,56,17.28%,43,13.27%,0,0%,106,32.72%,Ward 17
2,189,6,3.17%,3,1.59%,0,0%,53,28.04%,24,12.70%,28,14.81%,61,32.28%,0,0%,14,7.41%,Ward 17
3,237,9,3.80%,6,2.53%,1,0.42%,74,31.22%,21,8.86%,12,5.06%,98,41.35%,1,0.42%,15,6.33%,Ward 17
4,221,11,4.98%,3,1.36%,2,0.90%,49,22.17%,34,15.38%,21,9.50%,96,43.44%,1,0.45%,4,1.81%,Ward 17
5,142,5,3.52%,2,1.41%,1,0.70%,31,21.83%,18,12.68%,9,6.34%,70,49.30%,2,1.41%,4,2.82%,Ward 17
6,232,7,3.02%,6,2.59%,0,0%,65,28.02%,36,15.52%,16,6.90%,88,37.93%,1,0.43%,13,5.60%,Ward 17
7,107,3,2.80%,1,0.93%,2,1.87%,31,28.97%,11,10.28%,10,9.35%,43,40.19%,3,2.80%,3,2.80%,Ward 17
8,163,8,4.91%,4,2.45%,1,0.61%,27,16.56%,29,17.79%,12,7.36%,78,47.85%,1,0.61%,3,1.84%,Ward 17
9,176,7,3.98%,2,1.14%,1,0.57%,46,26.14%,27,15.34%,12,6.82%,69,39.20%,6,3.41%,6,3.41%,Ward 17
10,370,15,4.05%,3,0.81%,5,1.35%,94,25.41%,59,15.95%,30,8.11%,159,42.97%,2,0.54%,3,0.81%,Ward 17
11,206,12,5.83%,4,1.94%,0,0%,58,28.16%,19,9.22%,13,6.31%,93,45.15%,0,0%,7,3.40%,Ward 17
12,133,10,7.52%,2,1.50%,0,0%,30,22.56%,20,15.04%,4,3.01%,58,43.61%,0,0%,9,6.77%,Ward 17
13,157,11,7.01%,3,1.91%,1,0.64%,48,30.57%,17,10.83%,8,5.10%,64,40.76%,2,1.27%,3,1.91%,Ward 17
14,172,6,3.49%,3,1.74%,1,0.58%,39,22.67%,22,12.79%,12,6.98%,80,46.51%,2,1.16%,7,4.07%,Ward 17
15,426,22,5.16%,4,0.94%,5,1.17%,109,25.59%,55,12.91%,25,5.87%,185,43.43%,5,1.17%,16,3.76%,Ward 17
16,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 17
17,174,8,4.60%,3,1.72%,1,0.57%,51,29.31%,23,13.22%,13,7.47%,62,35.63%,3,1.72%,10,5.75%,Ward 17
18,487,16,3.29%,7,1.44%,2,0.41%,92,18.89%,94,19.30%,49,10.06%,210,43.12%,4,0.82%,13,2.67%,Ward 17
19,307,19,6.19%,2,0.65%,2,0.65%,72,23.45%,60,19.54%,20,6.51%,120,39.09%,2,0.65%,10,3.26%,Ward 17
20,346,9,2.60%,5,1.45%,0,0%,72,20.81%,60,17.34%,31,8.96%,158,45.66%,0,0%,11,3.18%,Ward 17
21,403,15,3.72%,5,1.24%,0,0%,74,18.36%,66,16.38%,48,11.91%,175,43.42%,1,0.25%,19,4.71%,Ward 17
22,329,21,6.38%,2,0.61%,5,1.52%,76,23.10%,51,15.50%,28,8.51%,136,41.34%,3,0.91%,7,2.13%,Ward 17
23,277,15,5.42%,2,0.72%,2,0.72%,72,25.99%,27,9.75%,28,10.11%,118,42.60%,3,1.08%,10,3.61%,Ward 17
24,408,21,5.15%,7,1.72%,4,0.98%,107,26.23%,67,16.42%,30,7.35%,161,39.46%,5,1.23%,6,1.47%,Ward 17
25,167,7,4.19%,1,0.60%,0,0%,50,29.94%,23,13.77%,16,9.58%,67,40.12%,0,0%,3,1.80%,Ward 17
26,357,11,3.08%,11,3.08%,2,0.56%,110,30.81%,42,11.76%,21,5.88%,152,42.58%,2,0.56%,6,1.68%,Ward 17
27,414,23,5.56%,2,0.48%,5,1.21%,118,28.50%,59,14.25%,33,7.97%,161,38.89%,6,1.45%,7,1.69%,Ward 17
28,479,22,4.59%,4,0.84%,8,1.67%,108,22.55%,83,17.33%,47,9.81%,181,37.79%,2,0.42%,24,5.01%,Ward 17
29,402,19,4.73%,5,1.24%,3,0.75%,91,22.64%,89,22.14%,19,4.73%,157,39.05%,2,0.50%,17,4.23%,Ward 17
1,509,10,1.96%,7,1.38%,5,0.98%,123,24.17%,79,15.52%,45,8.84%,228,44.79%,4,0.79%,8,1.57%,Ward 18
2,556,20,3.60%,8,1.44%,4,0.72%,115,20.68%,97,17.45%,52,9.35%,236,42.45%,6,1.08%,18,3.24%,Ward 18
3,243,12,4.94%,1,0.41%,2,0.82%,40,16.46%,46,18.93%,21,8.64%,102,41.98%,1,0.41%,18,7.41%,Ward 18
4,387,17,4.39%,8,2.07%,6,1.55%,58,14.99%,74,19.12%,57,14.73%,151,39.02%,5,1.29%,11,2.84%,Ward 18
5,357,18,5.04%,3,0.84%,2,0.56%,52,14.57%,65,18.21%,34,9.52%,170,47.62%,3,0.84%,10,2.80%,Ward 18
6,625,29,4.64%,6,0.96%,5,0.80%,128,20.48%,128,20.48%,82,13.12%,226,36.16%,4,0.64%,17,2.72%,Ward 18
7,519,12,2.31%,12,2.31%,3,0.58%,65,12.52%,96,18.50%,92,17.73%,220,42.39%,2,0.39%,17,3.28%,Ward 18
8,728,17,2.34%,13,1.79%,8,1.10%,145,19.92%,119,16.35%,110,15.11%,271,37.23%,7,0.96%,38,5.22%,Ward 18
9,558,13,2.33%,8,1.43%,4,0.72%,102,18.28%,98,17.56%,99,17.74%,198,35.48%,5,0.90%,31,5.56%,Ward 18
10,698,27,3.87%,13,1.86%,5,0.72%,147,21.06%,148,21.20%,111,15.90%,209,29.94%,6,0.86%,32,4.58%,Ward 18
11,346,12,3.47%,4,1.16%,1,0.29%,81,23.41%,62,17.92%,24,6.94%,149,43.06%,1,0.29%,12,3.47%,Ward 18
12,551,24,4.36%,7,1.27%,2,0.36%,110,19.96%,103,18.69%,60,10.89%,211,38.29%,6,1.09%,28,5.08%,Ward 18
13,446,14,3.14%,6,1.35%,5,1.12%,65,14.57%,61,13.68%,105,23.54%,135,30.27%,4,0.90%,51,11.43%,Ward 18
14,344,13,3.78%,9,2.62%,1,0.29%,88,25.58%,41,11.92%,41,11.92%,120,34.88%,0,0%,31,9.01%,Ward 18
15,250,8,3.20%,1,0.40%,1,0.40%,49,19.60%,41,16.40%,41,16.40%,71,28.40%,0,0%,38,15.20%,Ward 18
16,395,26,6.58%,6,1.52%,3,0.76%,78,19.75%,60,15.19%,48,12.15%,142,35.95%,0,0%,32,8.10%,Ward 18
17,284,13,4.58%,2,0.70%,1,0.35%,49,17.25%,58,20.42%,47,16.55%,72,25.35%,1,0.35%,41,14.44%,Ward 18
18,364,3,0.82%,2,0.55%,4,1.10%,42,11.54%,52,14.29%,80,21.98%,61,16.76%,2,0.55%,118,32.42%,Ward 18
19,351,11,3.13%,7,1.99%,12,3.42%,66,18.80%,46,13.11%,70,19.94%,91,25.93%,1,0.28%,47,13.39%,Ward 18
20,312,10,3.21%,0,0%,3,0.96%,41,13.14%,42,13.46%,69,22.12%,80,25.64%,3,0.96%,64,20.51%,Ward 18
21,426,17,3.99%,6,1.41%,2,0.47%,71,16.67%,97,22.77%,64,15.02%,144,33.80%,3,0.70%,22,5.16%,Ward 18
22,483,8,1.66%,5,1.04%,2,0.41%,61,12.63%,31,6.42%,197,40.79%,80,16.56%,2,0.41%,97,20.08%,Ward 18
23,553,9,1.63%,0,0%,2,0.36%,58,10.49%,47,8.50%,259,46.84%,49,8.86%,3,0.54%,126,22.78%,Ward 18
24,560,13,2.32%,9,1.61%,3,0.54%,50,8.93%,56,10.00%,196,35.00%,67,11.96%,2,0.36%,164,29.29%,Ward 18
25,287,4,1.39%,3,1.05%,2,0.70%,22,7.67%,22,7.67%,126,43.90%,11,3.83%,0,0%,97,33.80%,Ward 18
26,495,12,2.42%,4,0.81%,0,0%,41,8.28%,46,9.29%,177,35.76%,69,13.94%,1,0.20%,145,29.29%,Ward 18
1,833,4,0.48%,3,0.36%,3,0.36%,56,6.72%,51,6.12%,608,72.99%,44,5.28%,1,0.12%,63,7.56%,Ward 19
2,693,16,2.31%,8,1.15%,17,2.45%,53,7.65%,114,16.45%,284,40.98%,146,21.07%,3,0.43%,52,7.50%,Ward 19
3,627,1,0.16%,0,0%,1,0.16%,38,6.06%,8,1.28%,548,87.40%,8,1.28%,1,0.16%,22,3.51%,Ward 19
4,599,1,0.17%,1,0.17%,1,0.17%,28,4.67%,14,2.34%,493,82.30%,17,2.84%,0,0%,44,7.35%,Ward 19
5,598,3,0.50%,8,1.34%,10,1.67%,38,6.35%,97,16.22%,300,50.17%,83,13.88%,2,0.33%,57,9.53%,Ward 19
6,605,4,0.66%,1,0.17%,2,0.33%,35,5.79%,25,4.13%,469,77.52%,22,3.64%,0,0%,47,7.77%,Ward 19
7,856,6,0.70%,4,0.47%,12,1.40%,39,4.56%,60,7.01%,641,74.88%,32,3.74%,2,0.23%,60,7.01%,Ward 19
8,480,19,3.96%,4,0.83%,6,1.25%,87,18.13%,70,14.58%,61,12.71%,215,44.79%,3,0.63%,15,3.13%,Ward 19
9,428,6,1.40%,6,1.40%,12,2.80%,84,19.63%,70,16.36%,72,16.82%,159,37.15%,2,0.47%,17,3.97%,Ward 19
10,550,4,0.73%,12,2.18%,15,2.73%,28,5.09%,58,10.55%,284,51.64%,91,16.55%,3,0.55%,55,10.00%,Ward 19
11,495,8,1.62%,2,0.40%,5,1.01%,35,7.07%,21,4.24%,372,75.15%,33,6.67%,1,0.20%,18,3.64%,Ward 19
12,758,4,0.53%,1,0.13%,4,0.53%,36,4.75%,14,1.85%,646,85.22%,13,1.72%,2,0.26%,38,5.01%,Ward 19
13,445,16,3.60%,7,1.57%,7,1.57%,65,14.61%,94,21.12%,76,17.08%,148,33.26%,5,1.12%,27,6.07%,Ward 19
14,596,5,0.84%,5,0.84%,6,1.01%,42,7.05%,106,17.79%,279,46.81%,131,21.98%,1,0.17%,21,3.52%,Ward 19
15,475,1,0.21%,2,0.42%,4,0.84%,30,6.32%,15,3.16%,386,81.26%,5,1.05%,2,0.42%,30,6.32%,Ward 19
16,605,1,0.17%,3,0.50%,2,0.33%,39,6.45%,19,3.14%,470,77.69%,20,3.31%,1,0.17%,50,8.26%,Ward 19
17,573,3,0.52%,0,0%,9,1.57%,22,3.84%,31,5.41%,450,78.53%,15,2.62%,1,0.17%,42,7.33%,Ward 19
18,511,2,0.39%,0,0%,0,0%,29,5.68%,8,1.57%,421,82.39%,9,1.76%,1,0.20%,41,8.02%,Ward 19
19,589,5,0.85%,7,1.19%,17,2.89%,30,5.09%,91,15.45%,254,43.12%,119,20.20%,3,0.51%,63,10.70%,Ward 19
20,433,14,3.23%,7,1.62%,7,1.62%,54,12.47%,70,16.17%,88,20.32%,161,37.18%,3,0.69%,29,6.70%,Ward 19
21,845,3,0.36%,2,0.24%,3,0.36%,35,4.14%,18,2.13%,697,82.49%,25,2.96%,1,0.12%,61,7.22%,Ward 19
22,580,5,0.86%,6,1.03%,11,1.90%,31,5.34%,64,11.03%,334,57.59%,66,11.38%,3,0.52%,60,10.34%,Ward 19
23,605,2,0.33%,6,0.99%,7,1.16%,37,6.12%,36,5.95%,448,74.05%,33,5.45%,2,0.33%,34,5.62%,Ward 19
24,585,0,0%,1,0.17%,4,0.68%,40,6.84%,8,1.37%,492,84.10%,8,1.37%,0,0%,32,5.47%,Ward 19
25,488,8,1.64%,9,1.84%,5,1.02%,41,8.40%,70,14.34%,220,45.08%,104,21.31%,1,0.20%,30,6.15%,Ward 19
26,487,2,0.41%,2,0.41%,5,1.03%,32,6.57%,48,9.86%,294,60.37%,64,13.14%,2,0.41%,38,7.80%,Ward 19
27,656,20,3.05%,3,0.46%,16,2.44%,85,12.96%,140,21.34%,166,25.30%,181,27.59%,3,0.46%,42,6.40%,Ward 19
28,800,21,2.63%,8,1.00%,21,2.63%,100,12.50%,170,21.25%,202,25.25%,194,24.25%,4,0.50%,80,10.00%,Ward 19
29,683,0,0%,1,0.15%,6,0.88%,51,7.47%,25,3.66%,529,77.45%,15,2.20%,1,0.15%,55,8.05%,Ward 19
30,598,0,0%,2,0.33%,2,0.33%,39,6.52%,11,1.84%,507,84.78%,9,1.51%,0,0%,28,4.68%,Ward 19
31,820,8,0.98%,14,1.71%,18,2.20%,59,7.20%,95,11.59%,443,54.02%,117,14.27%,4,0.49%,62,7.56%,Ward 19
32,467,12,2.57%,7,1.50%,7,1.50%,64,13.70%,89,19.06%,141,30.19%,108,23.13%,1,0.21%,38,8.14%,Ward 19
33,431,1,0.23%,0,0%,2,0.46%,25,5.80%,7,1.62%,370,85.85%,7,1.62%,1,0.23%,18,4.18%,Ward 19
34,988,6,0.61%,6,0.61%,2,0.20%,40,4.05%,52,5.26%,794,80.36%,32,3.24%,3,0.30%,53,5.36%,Ward 19
35,602,5,0.83%,7,1.16%,11,1.83%,38,6.31%,55,9.14%,361,59.97%,69,11.46%,7,1.16%,49,8.14%,Ward 19
36,486,2,0.41%,2,0.41%,4,0.82%,20,4.12%,61,12.55%,317,65.23%,52,10.70%,0,0%,28,5.76%,Ward 19
1,184,1,0.54%,1,0.54%,0,0%,20,10.87%,19,10.33%,23,12.50%,10,5.43%,0,0%,110,59.78%,Ward 20
2,99,1,1.01%,2,2.02%,0,0%,4,4.04%,9,9.09%,21,21.21%,9,9.09%,0,0%,53,53.54%,Ward 20
3,128,3,2.34%,1,0.78%,2,1.56%,23,17.97%,18,14.06%,14,10.94%,32,25.00%,1,0.78%,34,26.56%,Ward 20
4,102,5,4.90%,1,0.98%,0,0%,21,20.59%,27,26.47%,7,6.86%,31,30.39%,1,0.98%,9,8.82%,Ward 20
5,161,14,8.70%,0,0%,1,0.62%,44,27.33%,19,11.80%,20,12.42%,54,33.54%,0,0%,9,5.59%,Ward 20
6,153,10,6.54%,3,1.96%,0,0%,48,31.37%,19,12.42%,12,7.84%,56,36.60%,0,0%,5,3.27%,Ward 20
7,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 20
8,194,15,7.73%,5,2.58%,0,0%,70,36.08%,17,8.76%,13,6.70%,68,35.05%,0,0%,6,3.09%,Ward 20
9,345,26,7.54%,5,1.45%,2,0.58%,94,27.25%,57,16.52%,29,8.41%,116,33.62%,3,0.87%,13,3.77%,Ward 20
10,351,13,3.70%,4,1.14%,7,1.99%,77,21.94%,72,20.51%,37,10.54%,118,33.62%,7,1.99%,16,4.56%,Ward 20
11,286,23,8.04%,5,1.75%,3,1.05%,80,27.97%,52,18.18%,15,5.24%,93,32.52%,4,1.40%,11,3.85%,Ward 20
12,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,Ward 20
13,560,20,3.57%,14,2.50%,7,1.25%,71,12.68%,176,31.43%,62,11.07%,165,29.46%,3,0.54%,42,7.50%,Ward 20
14,339,9,2.65%,17,5.01%,6,1.77%,60,17.70%,89,26.25%,27,7.96%,119,35.10%,3,0.88%,9,2.65%,Ward 20
15,261,12,4.60%,5,1.92%,7,2.68%,58,22.22%,59,22.61%,16,6.13%,94,36.02%,1,0.38%,9,3.45%,Ward 20
16,377,14,3.71%,5,1.33%,3,0.80%,88,23.34%,75,19.89%,32,8.49%,136,36.07%,4,1.06%,20,5.31%,Ward 20
17,397,23,5.79%,11,2.77%,8,2.02%,71,17.88%,104,26.20%,42,10.58%,108,27.20%,4,1.01%,26,6.55%,Ward 20
18,466,17,3.65%,14,3.00%,14,3.00%,59,12.66%,167,35.84%,47,10.09%,102,21.89%,5,1.07%,41,8.80%,Ward 20
19,271,10,3.69%,10,3.69%,10,3.69%,27,9.96%,88,32.47%,42,15.50%,69,25.46%,1,0.37%,14,5.17%,Ward 20
20,380,16,4.21%,12,3.16%,4,1.05%,79,20.79%,94,24.74%,48,12.63%,107,28.16%,1,0.26%,19,5.00%,Ward 20
21,476,38,7.98%,14,2.94%,9,1.89%,97,20.38%,130,27.31%,42,8.82%,131,27.52%,2,0.42%,13,2.73%,Ward 20
22,420,30,7.14%,11,2.62%,6,1.43%,107,25.48%,67,15.95%,25,5.95%,154,36.67%,3,0.71%,17,4.05%,Ward 20
23,191,3,1.57%,2,1.05%,0,0%,68,35.60%,28,14.66%,15,7.85%,60,31.41%,0,0%,15,7.85%,Ward 20
1,498,30,6.02%,8,1.61%,4,0.80%,118,23.69%,81,16.27%,53,10.64%,180,36.14%,5,1.00%,19,3.82%,Ward 21
2,165,12,7.27%,4,2.42%,1,0.61%,37,22.42%,20,12.12%,15,9.09%,68,41.21%,1,0.61%,7,4.24%,Ward 21
3,526,17,3.23%,6,1.14%,2,0.38%,122,23.19%,84,15.97%,61,11.60%,217,41.25%,4,0.76%,13,2.47%,Ward 21
4,441,16,3.63%,6,1.36%,2,0.45%,116,26.30%,70,15.87%,43,9.75%,173,39.23%,3,0.68%,12,2.72%,Ward 21
5,467,16,3.43%,7,1.50%,4,0.86%,111,23.77%,64,13.70%,37,7.92%,218,46.68%,2,0.43%,8,1.71%,Ward 21
6,373,17,4.56%,4,1.07%,2,0.54%,100,26.81%,49,13.14%,21,5.63%,169,45.31%,2,0.54%,9,2.41%,Ward 21
7,569,13,2.28%,10,1.76%,6,1.05%,135,23.73%,93,16.34%,63,11.07%,232,40.77%,5,0.88%,12,2.11%,Ward 21
8,463,31,6.70%,6,1.30%,2,0.43%,98,21.17%,63,13.61%,50,10.80%,198,42.76%,2,0.43%,13,2.81%,Ward 21
9,161,5,3.11%,2,1.24%,8,4.97%,27,16.77%,40,24.84%,15,9.32%,53,32.92%,1,0.62%,10,6.21%,Ward 21
10,509,13,2.55%,4,0.79%,7,1.38%,124,24.36%,77,15.13%,54,10.61%,203,39.88%,7,1.38%,20,3.93%,Ward 21
11,592,18,3.04%,8,1.35%,4,0.68%,128,21.62%,106,17.91%,57,9.63%,251,42.40%,2,0.34%,18,3.04%,Ward 21
12,214,8,3.74%,4,1.87%,2,0.93%,67,31.31%,34,15.89%,20,9.35%,73,34.11%,0,0%,6,2.80%,Ward 21
13,358,14,3.91%,4,1.12%,2,0.56%,81,22.63%,61,17.04%,35,9.78%,149,41.62%,3,0.84%,9,2.51%,Ward 21
14,602,15,2.49%,11,1.83%,6,1.00%,112,18.60%,127,21.10%,59,9.80%,238,39.53%,12,1.99%,22,3.65%,Ward 21
15,543,17,3.13%,14,2.58%,4,0.74%,122,22.47%,89,16.39%,43,7.92%,238,43.83%,1,0.18%,15,2.76%,Ward 21
16,510,18,3.53%,6,1.18%,6,1.18%,99,19.41%,103,20.20%,40,7.84%,222,43.53%,2,0.39%,14,2.75%,Ward 21
17,384,20,5.21%,7,1.82%,3,0.78%,104,27.08%,47,12.24%,35,9.11%,159,41.41%,2,0.52%,7,1.82%,Ward 21
18,542,20,3.69%,5,0.92%,10,1.85%,127,23.43%,101,18.63%,50,9.23%,210,38.75%,1,0.18%,18,3.32%,Ward 21
19,454,19,4.19%,6,1.32%,6,1.32%,77,16.96%,90,19.82%,57,12.56%,183,40.31%,5,1.10%,11,2.42%,Ward 21
20,400,14,3.50%,5,1.25%,6,1.50%,95,23.75%,69,17.25%,36,9.00%,158,39.50%,6,1.50%,11,2.75%,Ward 21
21,586,36,6.14%,6,1.02%,10,1.71%,107,18.26%,113,19.28%,51,8.70%,229,39.08%,11,1.88%,23,3.92%,Ward 21
22,640,25,3.91%,5,0.78%,8,1.25%,147,22.97%,122,19.06%,66,10.31%,239,37.34%,4,0.63%,24,3.75%,Ward 21
23,448,39,8.71%,12,2.68%,8,1.79%,93,20.76%,67,14.96%,48,10.71%,167,37.28%,6,1.34%,8,1.79%,Ward 21
24,396,36,9.09%,7,1.77%,2,0.51%,97,24.49%,50,12.63%,34,8.59%,160,40.40%,0,0%,10,2.53%,Ward 21
25,311,23,7.40%,5,1.61%,4,1.29%,77,24.76%,43,13.83%,25,8.04%,121,38.91%,3,0.96%,10,3.22%,Ward 21
26,351,16,4.56%,2,0.57%,5,1.42%,86,24.50%,60,17.09%,23,6.55%,146,41.60%,3,0.85%,10,2.85%,Ward 21
27,543,27,4.97%,8,1.47%,5,0.92%,165,30.39%,80,14.73%,43,7.92%,191,35.17%,3,0.55%,21,3.87%,Ward 21
28,504,39,7.74%,8,1.59%,7,1.39%,92,18.25%,86,17.06%,47,9.33%,210,41.67%,1,0.20%,14,2.78%,Ward 21
29,483,24,4.97%,9,1.86%,3,0.62%,99,20.50%,95,19.67%,42,8.70%,200,41.41%,0,0%,11,2.28%,Ward 21
1,161,6,3.73%,1,0.62%,1,0.62%,30,18.63%,26,16.15%,4,2.48%,63,39.13%,0,0%,30,18.63%,Ward 22
2,99,2,2.02%,0,0%,0,0%,8,8.08%,25,25.25%,9,9.09%,26,26.26%,0,0%,29,29.29%,Ward 22
3,277,4,1.44%,1,0.36%,0,0%,10,3.61%,22,7.94%,28,10.11%,8,2.89%,0,0%,204,73.65%,Ward 22
4,155,2,1.29%,0,0%,0,0%,2,1.29%,20,12.90%,13,8.39%,2,1.29%,0,0%,116,74.84%,Ward 22
5,332,3,0.90%,0,0%,2,0.60%,9,2.71%,56,16.87%,44,13.25%,15,4.52%,0,0%,203,61.14%,Ward 22
6,183,3,1.64%,0,0%,0,0%,9,4.92%,22,12.02%,29,15.85%,4,2.19%,0,0%,116,63.39%,Ward 22
7,229,2,0.87%,0,0%,1,0.44%,10,4.37%,36,15.72%,19,8.30%,6,2.62%,0,0%,155,67.69%,Ward 22
8,229,1,0.44%,0,0%,3,1.31%,12,5.24%,25,10.92%,34,14.85%,6,2.62%,0,0%,148,64.63%,Ward 22
9,239,6,2.51%,0,0%,0,0%,10,4.18%,32,13.39%,19,7.95%,5,2.09%,0,0%,167,69.87%,Ward 22
10,290,5,1.72%,1,0.34%,0,0%,7,2.41%,19,6.55%,36,12.41%,5,1.72%,1,0.34%,216,74.48%,Ward 22
11,370,4,1.08%,1,0.27%,1,0.27%,14,3.78%,32,8.65%,47,12.70%,9,2.43%,0,0%,262,70.81%,Ward 22
12,209,3,1.44%,0,0%,2,0.96%,11,5.26%,21,10.05%,19,9.09%,4,1.91%,0,0%,149,71.29%,Ward 22
13,289,3,1.04%,1,0.35%,2,0.69%,4,1.38%,26,9.00%,39,13.49%,10,3.46%,3,1.04%,201,69.55%,Ward 22
14,258,0,0%,1,0.39%,1,0.39%,5,1.94%,28,10.85%,22,8.53%,3,1.16%,0,0%,198,76.74%,Ward 22
15,148,2,1.35%,0,0%,1,0.68%,10,6.76%,9,6.08%,18,12.16%,0,0%,0,0%,108,72.97%,Ward 22
16,294,4,1.36%,1,0.34%,1,0.34%,37,12.59%,18,6.12%,83,28.23%,23,7.82%,2,0.68%,125,42.52%,Ward 22
17,117,4,3.42%,1,0.85%,0,0%,30,25.64%,15,12.82%,11,9.40%,36,30.77%,0,0%,20,17.09%,Ward 22
18,251,5,1.99%,1,0.40%,0,0%,50,19.92%,40,15.94%,18,7.17%,112,44.62%,1,0.40%,24,9.56%,Ward 22
